,data,first,second
220,"[5, 2, 1, 6, 0, 2, 4, 2, 2, 2, 0, 2, 6, 2, 0, 3, 2, 4, 3, 6]","[5, 2, 1, 6, 0, 2, 4, 2, 2, 2]","[0, 2, 6, 2, 0, 3, 2, 4, 3, 6]"
221,"[6, 5, 0, 3, 0, 6, 2, 0, 5, 3, 2, 3, 0, 6, 5, 4, 1, 1, 5, 3]","[6, 5, 0, 3, 0, 6, 2, 0, 5, 3]","[2, 3, 0, 6, 5, 4, 1, 1, 5, 3]"
222,"[3, 1, 4, 6, 6, 0, 5, 2, 3, 6, 6, 4, 5, 5, 5, 6, 6, 0, 1, 2]","[3, 1, 4, 6, 6, 0, 5, 2, 3, 6]","[6, 4, 5, 5, 5, 6, 6, 0, 1, 2]"
223,"[5, 0, 5, 5, 2, 6, 6, 2, 1, 3, 3, 2, 1, 3, 5, 3, 3, 4, 0, 0]","[5, 0, 5, 5, 2, 6, 6, 2, 1, 3]","[3, 2, 1, 3, 5, 3, 3, 4, 0, 0]"
224,"[3, 2, 0, 1, 4, 1, 4, 4, 2, 4, 3, 5, 2, 4, 2, 2, 6, 1, 2, 5]","[3, 2, 0, 1, 4, 1, 4, 4, 2, 4]","[3, 5, 2, 4, 2, 2, 6, 1, 2, 5]"
225,"[2, 0, 1, 3, 6, 3, 0, 2, 6, 0, 3, 2, 1, 3, 0, 3, 2, 0, 6, 4]","[2, 0, 1, 3, 6, 3, 0, 2, 6, 0]","[3, 2, 1, 3, 0, 3, 2, 0, 6, 4]"
226,"[3, 1, 6, 1, 4, 5, 3, 0, 4, 3, 6, 6, 3, 5, 1, 2, 0, 0, 2, 2]","[3, 1, 6, 1, 4, 5, 3, 0, 4, 3]","[6, 6, 3, 5, 1, 2, 0, 0, 2, 2]"
227,"[1, 0, 3, 2, 6, 1, 5, 6, 5, 4, 6, 6, 6, 4, 5, 2, 5, 6, 4, 2]","[1, 0, 3, 2, 6, 1, 5, 6, 5, 4]","[6, 6, 6, 4, 5, 2, 5, 6, 4, 2]"
228,"[5, 6, 4, 5, 6, 0, 6, 4, 0, 1, 1, 5, 3, 0, 6, 2, 5, 3, 1, 1]","[5, 6, 4, 5, 6, 0, 6, 4, 0, 1]","[1, 5, 3, 0, 6, 2, 5, 3, 1, 1]"
229,"[6, 0, 1, 3, 1, 2, 3, 3, 4, 2, 2, 0, 0, 0, 2, 2, 3, 2, 3, 6]","[6, 0, 1, 3, 1, 2, 3, 3, 4, 2]","[2, 0, 0, 0, 2, 2, 3, 2, 3, 6]"
230,"[1, 5, 1, 4, 3, 6, 2, 4, 4, 6, 5, 3, 6, 4, 6, 1, 1, 3, 6, 4]","[1, 5, 1, 4, 3, 6, 2, 4, 4, 6]","[5, 3, 6, 4, 6, 1, 1, 3, 6, 4]"
231,"[2, 6, 2, 6, 5, 2, 0, 0, 0, 3, 2, 6, 6, 5, 6, 1, 4, 2, 6, 4]","[2, 6, 2, 6, 5, 2, 0, 0, 0, 3]","[2, 6, 6, 5, 6, 1, 4, 2, 6, 4]"
232,"[5, 2, 4, 6, 2, 3, 0, 0, 2, 6, 5, 4, 6, 1, 4, 2, 0, 1, 2, 4]","[5, 2, 4, 6, 2, 3, 0, 0, 2, 6]","[5, 4, 6, 1, 4, 2, 0, 1, 2, 4]"
233,"[2, 1, 4, 0, 6, 2, 3, 0, 5, 4, 5, 0, 4, 4, 2, 0, 6, 3, 0, 5]","[2, 1, 4, 0, 6, 2, 3, 0, 5, 4]","[5, 0, 4, 4, 2, 0, 6, 3, 0, 5]"
234,"[5, 1, 0, 4, 3, 0, 1, 2, 5, 0, 4, 5, 5, 0, 0, 3, 0, 4, 3, 1]","[5, 1, 0, 4, 3, 0, 1, 2, 5, 0]","[4, 5, 5, 0, 0, 3, 0, 4, 3, 1]"
235,"[1, 5, 2, 5, 5, 1, 6, 3, 5, 2, 5, 1, 4, 3, 5, 4, 3, 3, 2, 0]","[1, 5, 2, 5, 5, 1, 6, 3, 5, 2]","[5, 1, 4, 3, 5, 4, 3, 3, 2, 0]"
236,"[4, 5, 4, 0, 0, 4, 5, 5, 1, 6, 3, 1, 6, 2, 2, 3, 0, 4, 5, 0]","[4, 5, 4, 0, 0, 4, 5, 5, 1, 6]","[3, 1, 6, 2, 2, 3, 0, 4, 5, 0]"
237,"[3, 1, 3, 0, 1, 0, 5, 3, 0, 5, 6, 3, 3, 5, 5, 4, 3, 6, 4, 1]","[3, 1, 3, 0, 1, 0, 5, 3, 0, 5]","[6, 3, 3, 5, 5, 4, 3, 6, 4, 1]"
238,"[4, 4, 6, 3, 5, 4, 5, 0, 4, 0, 4, 6, 1, 3, 2, 1, 6, 2, 0, 5]","[4, 4, 6, 3, 5, 4, 5, 0, 4, 0]","[4, 6, 1, 3, 2, 1, 6, 2, 0, 5]"
239,"[4, 4, 6, 2, 0, 4, 6, 2, 0, 6, 5, 6, 6, 4, 1, 6, 2, 6, 3, 0]","[4, 4, 6, 2, 0, 4, 6, 2, 0, 6]","[5, 6, 6, 4, 1, 6, 2, 6, 3, 0]"
240,"[4, 2, 6, 6, 6, 3, 4, 3, 3, 1, 1, 0, 1, 6, 1, 2, 1, 1, 3, 5]","[4, 2, 6, 6, 6, 3, 4, 3, 3, 1]","[1, 0, 1, 6, 1, 2, 1, 1, 3, 5]"
241,"[0, 4, 3, 6, 5, 6, 1, 5, 3, 1, 0, 2, 0, 5, 4, 4, 1, 5, 0, 1]","[0, 4, 3, 6, 5, 6, 1, 5, 3, 1]","[0, 2, 0, 5, 4, 4, 1, 5, 0, 1]"
242,"[4, 3, 4, 4, 1, 6, 2, 0, 6, 1, 2, 3, 0, 2, 3, 1, 2, 1, 5, 6]","[4, 3, 4, 4, 1, 6, 2, 0, 6, 1]","[2, 3, 0, 2, 3, 1, 2, 1, 5, 6]"
243,"[1, 4, 0, 5, 4, 2, 0, 3, 3, 3, 2, 5, 1, 4, 3, 0, 5, 5, 0, 3]","[1, 4, 0, 5, 4, 2, 0, 3, 3, 3]","[2, 5, 1, 4, 3, 0, 5, 5, 0, 3]"
244,"[0, 1, 1, 3, 6, 3, 3, 1, 4, 2, 3, 1, 3, 3, 1, 5, 6, 2, 3, 4]","[0, 1, 1, 3, 6, 3, 3, 1, 4, 2]","[3, 1, 3, 3, 1, 5, 6, 2, 3, 4]"
245,"[2, 6, 6, 4, 5, 5, 4, 0, 3, 6, 3, 0, 6, 1, 3, 0, 1, 1, 4, 2]","[2, 6, 6, 4, 5, 5, 4, 0, 3, 6]","[3, 0, 6, 1, 3, 0, 1, 1, 4, 2]"
246,"[5, 2, 5, 1, 0, 2, 2, 4, 6, 6, 3, 6, 2, 2, 1, 0, 6, 2, 3, 3]","[5, 2, 5, 1, 0, 2, 2, 4, 6, 6]","[3, 6, 2, 2, 1, 0, 6, 2, 3, 3]"
247,"[2, 3, 5, 3, 2, 1, 0, 4, 2, 1, 5, 1, 3, 6, 4, 3, 6, 6, 4, 0]","[2, 3, 5, 3, 2, 1, 0, 4, 2, 1]","[5, 1, 3, 6, 4, 3, 6, 6, 4, 0]"
248,"[2, 1, 3, 6, 1, 6, 6, 4, 3, 6, 4, 5, 2, 3, 4, 3, 3, 4, 5, 2]","[2, 1, 3, 6, 1, 6, 6, 4, 3, 6]","[4, 5, 2, 3, 4, 3, 3, 4, 5, 2]"
249,"[2, 5, 6, 4, 6, 5, 0, 6, 5, 4, 2, 2, 3, 4, 1, 3, 3, 3, 2, 5]","[2, 5, 6, 4, 6, 5, 0, 6, 5, 4]","[2, 2, 3, 4, 1, 3, 3, 3, 2, 5]"
250,"[6, 0, 3, 5, 2, 3, 5, 5, 6, 0, 4, 5, 2, 4, 4, 0, 4, 5, 2, 3]","[6, 0, 3, 5, 2, 3, 5, 5, 6, 0]","[4, 5, 2, 4, 4, 0, 4, 5, 2, 3]"
251,"[4, 0, 1, 6, 1, 4, 5, 0, 5, 0, 6, 3, 2, 4, 1, 4, 0, 5, 3, 6]","[4, 0, 1, 6, 1, 4, 5, 0, 5, 0]","[6, 3, 2, 4, 1, 4, 0, 5, 3, 6]"
252,"[2, 2, 3, 0, 6, 1, 1, 1, 2, 1, 1, 4, 2, 1, 3, 4, 2, 3, 5, 4]","[2, 2, 3, 0, 6, 1, 1, 1, 2, 1]","[1, 4, 2, 1, 3, 4, 2, 3, 5, 4]"
253,"[3, 0, 2, 6, 6, 1, 0, 3, 6, 2, 0, 5, 3, 2, 3, 4, 0, 6, 1, 1]","[3, 0, 2, 6, 6, 1, 0, 3, 6, 2]","[0, 5, 3, 2, 3, 4, 0, 6, 1, 1]"
254,"[0, 4, 0, 6, 2, 2, 3, 5, 3, 4, 3, 5, 6, 6, 0, 2, 4, 3, 5, 6]","[0, 4, 0, 6, 2, 2, 3, 5, 3, 4]","[3, 5, 6, 6, 0, 2, 4, 3, 5, 6]"
255,"[3, 5, 6, 1, 0, 0, 5, 0, 1, 6, 4, 5, 3, 5, 6, 1, 4, 3, 4, 4]","[3, 5, 6, 1, 0, 0, 5, 0, 1, 6]","[4, 5, 3, 5, 6, 1, 4, 3, 4, 4]"
256,"[2, 5, 1, 5, 0, 0, 0, 5, 6, 4, 5, 0, 4, 6, 4, 3, 3, 1, 1, 2]","[2, 5, 1, 5, 0, 0, 0, 5, 6, 4]","[5, 0, 4, 6, 4, 3, 3, 1, 1, 2]"
257,"[2, 3, 4, 3, 6, 5, 4, 3, 1, 0, 0, 0, 4, 1, 0, 0, 2, 6, 2, 1]","[2, 3, 4, 3, 6, 5, 4, 3, 1, 0]","[0, 0, 4, 1, 0, 0, 2, 6, 2, 1]"
258,"[5, 4, 1, 3, 4, 5, 1, 2, 6, 0, 0, 4, 4, 0, 5, 1, 0, 1, 2, 0]","[5, 4, 1, 3, 4, 5, 1, 2, 6, 0]","[0, 4, 4, 0, 5, 1, 0, 1, 2, 0]"
259,"[6, 5, 0, 1, 2, 2, 6, 1, 5, 0, 3, 5, 5, 0, 5, 0, 4, 0, 3, 6]","[6, 5, 0, 1, 2, 2, 6, 1, 5, 0]","[3, 5, 5, 0, 5, 0, 4, 0, 3, 6]"
260,"[4, 6, 3, 5, 1, 3, 2, 6, 2, 1, 0, 1, 5, 4, 5, 3, 0, 2, 2, 1]","[4, 6, 3, 5, 1, 3, 2, 6, 2, 1]","[0, 1, 5, 4, 5, 3, 0, 2, 2, 1]"
261,"[0, 6, 0, 1, 3, 0, 2, 4, 6, 3, 5, 5, 6, 5, 2, 5, 3, 4, 5, 5]","[0, 6, 0, 1, 3, 0, 2, 4, 6, 3]","[5, 5, 6, 5, 2, 5, 3, 4, 5, 5]"
262,"[2, 5, 2, 4, 2, 1, 5, 2, 2, 2, 3, 3, 3, 2, 6, 0, 5, 6, 6, 4]","[2, 5, 2, 4, 2, 1, 5, 2, 2, 2]","[3, 3, 3, 2, 6, 0, 5, 6, 6, 4]"
263,"[5, 3, 5, 0, 3, 5, 1, 0, 1, 6, 1, 1, 4, 6, 4, 0, 6, 5, 2, 6]","[5, 3, 5, 0, 3, 5, 1, 0, 1, 6]","[1, 1, 4, 6, 4, 0, 6, 5, 2, 6]"
264,"[0, 5, 3, 0, 4, 4, 6, 1, 3, 5, 1, 2, 3, 0, 6, 1, 4, 3, 6, 0]","[0, 5, 3, 0, 4, 4, 6, 1, 3, 5]","[1, 2, 3, 0, 6, 1, 4, 3, 6, 0]"
265,"[2, 3, 5, 0, 2, 2, 5, 2, 4, 4, 4, 3, 2, 0, 0, 3, 6, 4, 1, 0]","[2, 3, 5, 0, 2, 2, 5, 2, 4, 4]","[4, 3, 2, 0, 0, 3, 6, 4, 1, 0]"
266,"[1, 5, 3, 5, 6, 5, 1, 3, 4, 1, 1, 1, 0, 4, 1, 0, 1, 0, 6, 5]","[1, 5, 3, 5, 6, 5, 1, 3, 4, 1]","[1, 1, 0, 4, 1, 0, 1, 0, 6, 5]"
267,"[1, 3, 4, 3, 1, 6, 5, 6, 5, 1, 4, 5, 3, 1, 1, 1, 6, 4, 1, 0]","[1, 3, 4, 3, 1, 6, 5, 6, 5, 1]","[4, 5, 3, 1, 1, 1, 6, 4, 1, 0]"
268,"[2, 1, 3, 6, 4, 6, 0, 6, 2, 3, 4, 1, 0, 6, 1, 0, 5, 5, 6, 5]","[2, 1, 3, 6, 4, 6, 0, 6, 2, 3]","[4, 1, 0, 6, 1, 0, 5, 5, 6, 5]"
269,"[6, 2, 0, 0, 5, 0, 2, 0, 1, 6, 2, 0, 4, 5, 5, 3, 5, 3, 5, 4]","[6, 2, 0, 0, 5, 0, 2, 0, 1, 6]","[2, 0, 4, 5, 5, 3, 5, 3, 5, 4]"
270,"[0, 0, 2, 6, 1, 4, 3, 2, 0, 6, 1, 0, 3, 5, 6, 3, 3, 5, 6, 3]","[0, 0, 2, 6, 1, 4, 3, 2, 0, 6]","[1, 0, 3, 5, 6, 3, 3, 5, 6, 3]"
271,"[5, 3, 6, 4, 6, 4, 1, 0, 3, 1, 6, 2, 2, 6, 4, 5, 1, 3, 4, 4]","[5, 3, 6, 4, 6, 4, 1, 0, 3, 1]","[6, 2, 2, 6, 4, 5, 1, 3, 4, 4]"
272,"[6, 6, 1, 6, 1, 1, 4, 0, 5, 3, 2, 5, 5, 2, 4, 1, 3, 5, 4, 5]","[6, 6, 1, 6, 1, 1, 4, 0, 5, 3]","[2, 5, 5, 2, 4, 1, 3, 5, 4, 5]"
273,"[0, 2, 5, 5, 5, 5, 2, 3, 1, 6, 0, 5, 4, 1, 1, 3, 6, 4, 2, 5]","[0, 2, 5, 5, 5, 5, 2, 3, 1, 6]","[0, 5, 4, 1, 1, 3, 6, 4, 2, 5]"
274,"[4, 5, 6, 4, 4, 0, 0, 0, 0, 2, 4, 2, 5, 0, 2, 4, 5, 0, 1, 0]","[4, 5, 6, 4, 4, 0, 0, 0, 0, 2]","[4, 2, 5, 0, 2, 4, 5, 0, 1, 0]"
275,"[6, 1, 6, 1, 3, 0, 1, 1, 0, 1, 2, 2, 4, 1, 5, 6, 3, 5, 2, 3]","[6, 1, 6, 1, 3, 0, 1, 1, 0, 1]","[2, 2, 4, 1, 5, 6, 3, 5, 2, 3]"
276,"[0, 6, 2, 3, 1, 2, 1, 0, 3, 2, 3, 3, 0, 0, 2, 4, 2, 1, 4, 1]","[0, 6, 2, 3, 1, 2, 1, 0, 3, 2]","[3, 3, 0, 0, 2, 4, 2, 1, 4, 1]"
277,"[6, 1, 5, 5, 5, 6, 6, 2, 3, 3, 3, 0, 4, 4, 1, 2, 4, 4, 0, 6]","[6, 1, 5, 5, 5, 6, 6, 2, 3, 3]","[3, 0, 4, 4, 1, 2, 4, 4, 0, 6]"
278,"[1, 6, 6, 4, 6, 5, 5, 3, 0, 0, 6, 5, 4, 0, 1, 0, 1, 6, 2, 1]","[1, 6, 6, 4, 6, 5, 5, 3, 0, 0]","[6, 5, 4, 0, 1, 0, 1, 6, 2, 1]"
279,"[4, 4, 2, 2, 0, 3, 3, 6, 3, 5, 5, 6, 6, 1, 6, 5, 6, 6, 5, 6]","[4, 4, 2, 2, 0, 3, 3, 6, 3, 5]","[5, 6, 6, 1, 6, 5, 6, 6, 5, 6]"
280,"[4, 4, 6, 4, 0, 5, 2, 3, 3, 2, 4, 0, 5, 0, 6, 2, 3, 1, 3, 6]","[4, 4, 6, 4, 0, 5, 2, 3, 3, 2]","[4, 0, 5, 0, 6, 2, 3, 1, 3, 6]"
281,"[3, 2, 2, 6, 2, 1, 6, 3, 3, 6, 3, 5, 5, 4, 0, 0, 4, 5, 1, 4]","[3, 2, 2, 6, 2, 1, 6, 3, 3, 6]","[3, 5, 5, 4, 0, 0, 4, 5, 1, 4]"
282,"[1, 3, 2, 4, 3, 2, 3, 6, 1, 3, 5, 6, 0, 1, 3, 6, 4, 4, 1, 6]","[1, 3, 2, 4, 3, 2, 3, 6, 1, 3]","[5, 6, 0, 1, 3, 6, 4, 4, 1, 6]"
283,"[3, 0, 3, 5, 3, 2, 3, 0, 6, 6, 6, 3, 2, 5, 1, 3, 3, 3, 0, 5]","[3, 0, 3, 5, 3, 2, 3, 0, 6, 6]","[6, 3, 2, 5, 1, 3, 3, 3, 0, 5]"
284,"[5, 2, 2, 2, 1, 5, 5, 3, 6, 2, 5, 0, 4, 3, 3, 6, 6, 0, 2, 1]","[5, 2, 2, 2, 1, 5, 5, 3, 6, 2]","[5, 0, 4, 3, 3, 6, 6, 0, 2, 1]"
285,"[2, 3, 4, 0, 2, 0, 6, 2, 1, 1, 6, 3, 4, 1, 4, 1, 3, 3, 1, 0]","[2, 3, 4, 0, 2, 0, 6, 2, 1, 1]","[6, 3, 4, 1, 4, 1, 3, 3, 1, 0]"
286,"[1, 2, 5, 2, 3, 4, 0, 4, 5, 1, 6, 4, 3, 4, 0, 3, 6, 4, 0, 6]","[1, 2, 5, 2, 3, 4, 0, 4, 5, 1]","[6, 4, 3, 4, 0, 3, 6, 4, 0, 6]"
287,"[5, 5, 0, 0, 2, 3, 6, 6, 0, 6, 0, 6, 6, 5, 0, 3, 2, 1, 1, 6]","[5, 5, 0, 0, 2, 3, 6, 6, 0, 6]","[0, 6, 6, 5, 0, 3, 2, 1, 1, 6]"
288,"[4, 6, 6, 0, 2, 6, 1, 6, 2, 0, 0, 2, 5, 4, 6, 1, 0, 2, 2, 1]","[4, 6, 6, 0, 2, 6, 1, 6, 2, 0]","[0, 2, 5, 4, 6, 1, 0, 2, 2, 1]"
289,"[3, 0, 3, 6, 4, 4, 0, 5, 2, 6, 1, 2, 3, 4, 6, 2, 3, 3, 4, 1]","[3, 0, 3, 6, 4, 4, 0, 5, 2, 6]","[1, 2, 3, 4, 6, 2, 3, 3, 4, 1]"
290,"[5, 2, 5, 6, 3, 6, 4, 0, 6, 2, 3, 0, 4, 0, 6, 0, 6, 3, 6, 0]","[5, 2, 5, 6, 3, 6, 4, 0, 6, 2]","[3, 0, 4, 0, 6, 0, 6, 3, 6, 0]"
291,"[2, 4, 3, 0, 5, 6, 4, 6, 3, 5, 6, 1, 4, 1, 3, 4, 4, 5, 0, 6]","[2, 4, 3, 0, 5, 6, 4, 6, 3, 5]","[6, 1, 4, 1, 3, 4, 4, 5, 0, 6]"
292,"[1, 2, 3, 6, 2, 0, 6, 6, 0, 5, 0, 3, 6, 4, 2, 3, 5, 5, 0, 5]","[1, 2, 3, 6, 2, 0, 6, 6, 0, 5]","[0, 3, 6, 4, 2, 3, 5, 5, 0, 5]"
293,"[0, 5, 3, 3, 0, 1, 0, 6, 5, 4, 5, 3, 1, 2, 1, 1, 3, 1, 1, 2]","[0, 5, 3, 3, 0, 1, 0, 6, 5, 4]","[5, 3, 1, 2, 1, 1, 3, 1, 1, 2]"
294,"[4, 6, 6, 6, 5, 5, 1, 4, 0, 2, 1, 6, 3, 3, 6, 6, 1, 3, 3, 2]","[4, 6, 6, 6, 5, 5, 1, 4, 0, 2]","[1, 6, 3, 3, 6, 6, 1, 3, 3, 2]"
295,"[5, 4, 1, 6, 3, 6, 0, 5, 0, 3, 4, 0, 5, 6, 2, 6, 5, 4, 2, 4]","[5, 4, 1, 6, 3, 6, 0, 5, 0, 3]","[4, 0, 5, 6, 2, 6, 5, 4, 2, 4]"
296,"[3, 3, 6, 2, 2, 4, 2, 6, 5, 4, 3, 1, 3, 5, 1, 0, 1, 2, 1, 4]","[3, 3, 6, 2, 2, 4, 2, 6, 5, 4]","[3, 1, 3, 5, 1, 0, 1, 2, 1, 4]"
297,"[5, 4, 1, 2, 1, 6, 2, 1, 0, 6, 6, 1, 3, 0, 2, 1, 1, 1, 4, 1]","[5, 4, 1, 2, 1, 6, 2, 1, 0, 6]","[6, 1, 3, 0, 2, 1, 1, 1, 4, 1]"
298,"[1, 1, 4, 6, 4, 4, 2, 1, 3, 4, 4, 3, 0, 5, 6, 6, 3, 6, 6, 3]","[1, 1, 4, 6, 4, 4, 2, 1, 3, 4]","[4, 3, 0, 5, 6, 6, 3, 6, 6, 3]"
299,"[1, 4, 6, 6, 4, 1, 4, 1, 6, 5, 2, 6, 5, 1, 2, 1, 2, 0, 0, 4]","[1, 4, 6, 6, 4, 1, 4, 1, 6, 5]","[2, 6, 5, 1, 2, 1, 2, 0, 0, 4]"
300,"[0, 2, 0, 0, 2, 2, 3, 6, 1, 2, 2, 2, 5, 3, 4, 3, 6, 2, 0, 6]","[0, 2, 0, 0, 2, 2, 3, 6, 1, 2]","[2, 2, 5, 3, 4, 3, 6, 2, 0, 6]"
301,"[1, 0, 6, 6, 3, 3, 5, 6, 3, 0, 4, 1, 5, 4, 3, 5, 5, 0, 2, 2]","[1, 0, 6, 6, 3, 3, 5, 6, 3, 0]","[4, 1, 5, 4, 3, 5, 5, 0, 2, 2]"
302,"[5, 4, 2, 6, 5, 1, 5, 6, 0, 4, 6, 1, 4, 3, 3, 2, 5, 6, 4, 6]","[5, 4, 2, 6, 5, 1, 5, 6, 0, 4]","[6, 1, 4, 3, 3, 2, 5, 6, 4, 6]"
303,"[0, 4, 4, 4, 3, 4, 2, 0, 1, 6, 6, 2, 5, 4, 4, 6, 0, 2, 2, 1]","[0, 4, 4, 4, 3, 4, 2, 0, 1, 6]","[6, 2, 5, 4, 4, 6, 0, 2, 2, 1]"
304,"[5, 0, 2, 0, 4, 5, 5, 1, 6, 0, 6, 3, 6, 4, 3, 2, 6, 0, 1, 6]","[5, 0, 2, 0, 4, 5, 5, 1, 6, 0]","[6, 3, 6, 4, 3, 2, 6, 0, 1, 6]"
305,"[3, 3, 2, 1, 0, 0, 3, 4, 3, 5, 0, 1, 5, 5, 2, 2, 1, 6, 1, 4]","[3, 3, 2, 1, 0, 0, 3, 4, 3, 5]","[0, 1, 5, 5, 2, 2, 1, 6, 1, 4]"
306,"[1, 5, 1, 2, 2, 3, 6, 0, 2, 3, 2, 5, 1, 2, 3, 6, 4, 2, 3, 5]","[1, 5, 1, 2, 2, 3, 6, 0, 2, 3]","[2, 5, 1, 2, 3, 6, 4, 2, 3, 5]"
307,"[6, 2, 2, 2, 2, 5, 0, 2, 6, 2, 2, 6, 0, 4, 5, 5, 6, 5, 0, 2]","[6, 2, 2, 2, 2, 5, 0, 2, 6, 2]","[2, 6, 0, 4, 5, 5, 6, 5, 0, 2]"
308,"[3, 2, 3, 0, 6, 2, 0, 2, 3, 4, 3, 5, 2, 3, 3, 4, 0, 3, 2, 5]","[3, 2, 3, 0, 6, 2, 0, 2, 3, 4]","[3, 5, 2, 3, 3, 4, 0, 3, 2, 5]"
309,"[2, 2, 1, 1, 0, 5, 3, 5, 2, 0, 0, 1, 0, 0, 3, 4, 2, 1, 6, 5]","[2, 2, 1, 1, 0, 5, 3, 5, 2, 0]","[0, 1, 0, 0, 3, 4, 2, 1, 6, 5]"
310,"[4, 5, 1, 6, 0, 2, 4, 3, 3, 1, 5, 5, 2, 3, 4, 6, 3, 4, 4, 4]","[4, 5, 1, 6, 0, 2, 4, 3, 3, 1]","[5, 5, 2, 3, 4, 6, 3, 4, 4, 4]"
311,"[1, 3, 6, 1, 1, 1, 3, 0, 2, 5, 3, 3, 1, 5, 0, 2, 1, 1, 2, 2]","[1, 3, 6, 1, 1, 1, 3, 0, 2, 5]","[3, 3, 1, 5, 0, 2, 1, 1, 2, 2]"
312,"[4, 0, 1, 3, 0, 5, 6, 1, 4, 6, 1, 3, 6, 6, 2, 2, 6, 0, 6, 0]","[4, 0, 1, 3, 0, 5, 6, 1, 4, 6]","[1, 3, 6, 6, 2, 2, 6, 0, 6, 0]"
313,"[1, 3, 4, 4, 4, 0, 2, 3, 6, 3, 3, 2, 5, 4, 3, 1, 6, 5, 4, 4]","[1, 3, 4, 4, 4, 0, 2, 3, 6, 3]","[3, 2, 5, 4, 3, 1, 6, 5, 4, 4]"
314,"[3, 2, 2, 0, 3, 6, 2, 3, 6, 6, 2, 4, 4, 6, 2, 4, 2, 1, 1, 6]","[3, 2, 2, 0, 3, 6, 2, 3, 6, 6]","[2, 4, 4, 6, 2, 4, 2, 1, 1, 6]"
315,"[6, 6, 1, 2, 3, 1, 6, 3, 4, 3, 2, 6, 1, 3, 3, 3, 3, 5, 2, 1]","[6, 6, 1, 2, 3, 1, 6, 3, 4, 3]","[2, 6, 1, 3, 3, 3, 3, 5, 2, 1]"
316,"[1, 1, 1, 6, 4, 5, 5, 3, 2, 5, 4, 1, 5, 0, 3, 6, 3, 1, 6, 1]","[1, 1, 1, 6, 4, 5, 5, 3, 2, 5]","[4, 1, 5, 0, 3, 6, 3, 1, 6, 1]"
317,"[1, 2, 5, 1, 4, 6, 0, 2, 3, 4, 3, 2, 6, 1, 4, 3, 1, 6, 2, 0]","[1, 2, 5, 1, 4, 6, 0, 2, 3, 4]","[3, 2, 6, 1, 4, 3, 1, 6, 2, 0]"
318,"[4, 1, 5, 6, 0, 6, 5, 1, 3, 5, 4, 5, 6, 2, 4, 0, 3, 3, 6, 3]","[4, 1, 5, 6, 0, 6, 5, 1, 3, 5]","[4, 5, 6, 2, 4, 0, 3, 3, 6, 3]"
319,"[2, 4, 3, 4, 3, 6, 5, 4, 6, 6, 5, 4, 2, 3, 4, 3, 2, 2, 4, 4]","[2, 4, 3, 4, 3, 6, 5, 4, 6, 6]","[5, 4, 2, 3, 4, 3, 2, 2, 4, 4]"
320,"[2, 3, 0, 3, 2, 6, 1, 2, 1, 6, 2, 0, 1, 3, 5, 3, 0, 1, 3, 5]","[2, 3, 0, 3, 2, 6, 1, 2, 1, 6]","[2, 0, 1, 3, 5, 3, 0, 1, 3, 5]"
321,"[5, 3, 6, 1, 6, 0, 1, 4, 1, 4, 0, 0, 2, 2, 2, 1, 1, 6, 4, 4]","[5, 3, 6, 1, 6, 0, 1, 4, 1, 4]","[0, 0, 2, 2, 2, 1, 1, 6, 4, 4]"
322,"[0, 5, 1, 0, 1, 3, 0, 1, 5, 2, 3, 2, 1, 4, 5, 1, 0, 2, 6, 6]","[0, 5, 1, 0, 1, 3, 0, 1, 5, 2]","[3, 2, 1, 4, 5, 1, 0, 2, 6, 6]"
323,"[0, 6, 4, 3, 0, 1, 0, 1, 0, 4, 0, 6, 3, 0, 6, 5, 6, 4, 1, 0]","[0, 6, 4, 3, 0, 1, 0, 1, 0, 4]","[0, 6, 3, 0, 6, 5, 6, 4, 1, 0]"
324,"[4, 2, 3, 2, 4, 0, 5, 0, 6, 5, 6, 2, 6, 5, 6, 1, 0, 3, 0, 5]","[4, 2, 3, 2, 4, 0, 5, 0, 6, 5]","[6, 2, 6, 5, 6, 1, 0, 3, 0, 5]"
325,"[6, 0, 6, 1, 2, 4, 5, 1, 0, 0, 1, 1, 5, 2, 4, 5, 4, 1, 6, 3]","[6, 0, 6, 1, 2, 4, 5, 1, 0, 0]","[1, 1, 5, 2, 4, 5, 4, 1, 6, 3]"
326,"[5, 0, 2, 0, 0, 5, 0, 0, 1, 5, 3, 4, 0, 0, 4, 4, 3, 0, 4, 4]","[5, 0, 2, 0, 0, 5, 0, 0, 1, 5]","[3, 4, 0, 0, 4, 4, 3, 0, 4, 4]"
327,"[3, 2, 4, 4, 4, 1, 6, 4, 6, 5, 0, 6, 2, 5, 4, 6, 0, 3, 1, 5]","[3, 2, 4, 4, 4, 1, 6, 4, 6, 5]","[0, 6, 2, 5, 4, 6, 0, 3, 1, 5]"
328,"[4, 4, 0, 1, 2, 0, 1, 1, 4, 2, 5, 2, 1, 6, 5, 5, 4, 6, 5, 3]","[4, 4, 0, 1, 2, 0, 1, 1, 4, 2]","[5, 2, 1, 6, 5, 5, 4, 6, 5, 3]"
329,"[2, 5, 1, 0, 4, 0, 6, 4, 0, 6, 3, 2, 0, 4, 2, 2, 0, 5, 0, 4]","[2, 5, 1, 0, 4, 0, 6, 4, 0, 6]","[3, 2, 0, 4, 2, 2, 0, 5, 0, 4]"
